id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25
2022-06-01 00,16.4,0.148,67.4,10.2,4.1
2022-06-01 01,12.3,0.14,71.9,15.7,5.2
2022-06-01 02,12.1,0.14,69.2,8.4,3.5
2022-06-01 03,24.9,0.155,51.0,11.8,4.9
2022-06-01 04,35.2,0.19,38.2,16.0,5.8
2022-06-01 05,45.1,0.211,32.9,25.1,7.1
2022-06-01 06,29.3,0.177,57.4,22.1,6.2
2022-06-01 07,23.1,0.182,63.9,16.56614280170741,6.5
2022-06-01 08,21.1,0.164,71.0,16.56614280170741,6.8
2022-06-01 09,20.61335561008719,0.151,78.8,16.56614280170741,7.7
2022-06-01 10,10.0,0.146,86.7,16.56614280170741,7.2
2022-06-01 11,7.8,0.144,89.2,16.56614280170741,7.6
2022-06-01 12,8.0,0.14,92.2,16.56614280170741,10.3
2022-06-01 13,8.6,0.144,96.3,16.56614280170741,9.2
2022-06-01 14,8.6,0.14,96.7,16.56614280170741,8.4
2022-06-01 15,8.5,0.145,96.1,16.56614280170741,6.9
2022-06-01 16,8.1,0.152,94.4,16.56614280170741,7.9
2022-06-01 17,9.2,0.161,93.7,16.56614280170741,7.4
2022-06-01 18,10.6,0.175,89.3,16.56614280170741,8.0
2022-06-01 19,11.9,0.172,80.6,16.56614280170741,8.8
2022-06-01 20,12.9,0.174,77.1,15.4,6.7
2022-06-01 21,13.0,0.171,73.7,14.1,5.3
2022-06-01 22,14.2,0.168,66.4,8.8,4.0
2022-06-01 23,14.2,0.161,60.6,11.0,4.7
2022-06-02 00,14.7,0.161,56.4,12.8,4.7
2022-06-02 01,18.5,0.166,52.6,9.3,4.6
2022-06-02 02,14.1,0.16,57.3,9.5,5.1
2022-06-02 03,15.7,0.163,53.6,10.3,6.0
2022-06-02 04,22.8,0.175,45.6,17.8,7.1
2022-06-02 05,33.4,0.196,37.3,18.3,8.0
2022-06-02 06,41.1,0.223,32.3,25.5,10.0
2022-06-02 07,32.1,0.223,44.1,28.4,10.4
2022-06-02 08,24.4,0.209,59.5,16.56614280170741,9.0
2022-06-02 09,15.9,0.173,75.3,16.56614280170741,7.5
2022-06-02 10,9.7,0.156,91.2,16.56614280170741,6.9
2022-06-02 11,8.5,0.155,100.0,16.56614280170741,6.1
2022-06-02 12,8.4,0.154,102.3,16.56614280170741,6.7
2022-06-02 13,9.1,0.157,104.9,16.56614280170741,7.7
2022-06-02 14,20.61335561008719,0.15,106.3,16.56614280170741,6.2
2022-06-02 15,16.5,0.148,105.8,16.56614280170741,9.1
2022-06-02 16,13.4,0.149,106.4,16.56614280170741,10.3
2022-06-02 17,14.7,0.172,100.3,16.56614280170741,7.8
2022-06-02 18,18.9,0.198,95.0,16.6,7.1
2022-06-02 19,21.2,0.201,90.0,15.9,6.9
2022-06-02 20,27.4,0.213,77.3,17.9,7.7
2022-06-02 21,32.7,0.225,68.1,17.5,7.3
2022-06-02 22,30.7,0.197,70.1,19.5,6.3
2022-06-02 23,22.0,0.18,74.0,13.7,5.5
2022-06-03 00,22.8,0.178,68.3,12.3,5.4
2022-06-03 01,21.3,0.173,67.2,14.5,5.8
2022-06-03 02,24.8,0.179,60.4,11.7,5.3
2022-06-03 03,29.0,0.185,54.7,12.8,5.3
2022-06-03 04,46.8,0.215,37.8,17.0,6.2
